n = 1	2
n = 2	2.5
n = 3	2.66666666666666651863693004998
n = 4	2.70833333333333303727386009996
n = 5	2.71666666666666634100124610995
n = 6	2.71805555555555544700041536998
n = 7	2.71825396825396836675281520002
n = 8	2.71827876984127003723301641003
n = 9	2.71828152557319224769116772222
n = 10	2.71828180114638451314590383845
n = 11	2.71828182619849290091451621265
n = 12	2.71828182828616871091753637302
n = 13	2.71828182844675936280509631615
n = 14	2.71828182845823018709552343353
n = 15	2.71828182845899490871488524135
